Timsort,7732125 nanoseconds,7.73212 milliseconds,0.00773213 seconds

Bubble Sort,1416207337 nanoseconds,1416.21 milliseconds,1.41621 seconds
Insertion Sort,585538720 nanoseconds,585.539 milliseconds,0.585539 seconds
Selection Sort,541911540 nanoseconds,541.912 milliseconds,0.541912 seconds
Merge Sort,7844279 nanoseconds,7.84428 milliseconds,0.00784428 seconds
Heap Sort,8308617 nanoseconds,8.30862 milliseconds,0.00830862 seconds
Quick Sort,4709107 nanoseconds,4.70911 milliseconds,0.00470911 seconds
Cycle Sort,1287817480 nanoseconds,1287.82 milliseconds,1.28782 seconds
3-way Merge Sort,7508108 nanoseconds,7.50811 milliseconds,0.00750811 seconds
Counting Sort,854915 nanoseconds,0.854915 milliseconds,0.000854915 seconds
Radix Sort,38841 nanoseconds,0.038841 milliseconds,3.8841e-05 seconds
Introsort,3656581 nanoseconds,3.65658 milliseconds,0.00365658 seconds
Timsort,7106449 nanoseconds,7.10645 milliseconds,0.00710645 seconds

Bubble Sort,1370759259 nanoseconds,1370.76 milliseconds,1.37076 seconds
Insertion Sort,586693542 nanoseconds,586.694 milliseconds,0.586694 seconds
Selection Sort,535744219 nanoseconds,535.744 milliseconds,0.535744 seconds
Merge Sort,8141746 nanoseconds,8.14175 milliseconds,0.00814175 seconds
Heap Sort,8903889 nanoseconds,8.90389 milliseconds,0.00890389 seconds
Quick Sort,4688994 nanoseconds,4.68899 milliseconds,0.00468899 seconds
Cycle Sort,1310657687 nanoseconds,1310.66 milliseconds,1.31066 seconds
3-way Merge Sort,7560799 nanoseconds,7.5608 milliseconds,0.0075608 seconds
Counting Sort,853900 nanoseconds,0.8539 milliseconds,0.0008539 seconds
Radix Sort,38766 nanoseconds,0.038766 milliseconds,3.8766e-05 seconds
Introsort,3763840 nanoseconds,3.76384 milliseconds,0.00376384 seconds
Timsort,8156055 nanoseconds,8.15606 milliseconds,0.00815606 seconds

